ID,CompanyName,ContactName,PhoneNumber,City,State,Status,CompetitorWebsite,Notes
202,Heritage Roofing Services,Owner / Manager,+12815369267,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Heritage%20Roofing%20Services&query_place_id=ChIJ9eZoOQC_QIYRZfZPDSyVtVY
203,Hernandez Roofing,Owner / Manager,+18329975214,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Hernandez%20Roofing&query_place_id=ChIJJywii47pQIYR1TgaMQ9RJpU
204,Hill Commercial Roofing,Owner / Manager,+17135535494,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Hill%20Commercial%20Roofing&query_place_id=ChIJSdYFJf3dQIYRn2TlYYvAp5I
205,Hockley Roofing Services,Owner / Manager,+18327730979,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Hockley%20Roofing%20Services&query_place_id=ChIJZw8T2hktQYYRBwGTXW4yj_E
207,Horizon Roofing Group,Owner / Manager,+18329109513,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Horizon%20Roofing%20Group&query_place_id=ChIJjRgjiBjHQIYRarjXckSkQEI
208,Houston RoofUS Pros,Owner / Manager,+17135387423,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Houston%20RoofUS%20Pros&query_place_id=ChIJOyy-OQDDQIYRonlWeW2I9MA
209,Houston Water Emergency Restoration,Owner / Manager,+12543274369,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Houston%20Water%20Emergency%20Restoration&query_place_id=ChIJt-FEfD6xcqERmJQbYweEmIA
213,Ibarra Roofing,Owner / Manager,+17139335951,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Ibarra%20Roofing&query_place_id=ChIJD1b5awCkQIYRhThom47kofo
215,Indus Roofing & Construction,Owner / Manager,+13465009800,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Indus%20Roofing%20%26%20Construction&query_place_id=ChIJ5aexANe9QIYRDdUjQd2Rf3Q
226,Jaguar Roofing,Owner / Manager,+18329517070,Houston,Texas,called,,Google Maps URL: https://www.google.com/maps/search/?api=1&query=Jaguar%20Roofing&query_place_id=ChIJs1jlzSfrQIYRWyUj2eHMcLc
